2025-02-23 22:42:13.157730945[CLIENT]Registered class clazz dawncraft:brawler
2025-02-23 22:42:13.158118598[CLIENT]Registered class clazz dawncraft:warrior
2025-02-23 22:42:13.158176017[CLIENT]Registered class clazz dawncraft:berserker
2025-02-23 22:42:13.158214729[CLIENT]Registered class clazz dawncraft:roamer
2025-02-23 22:42:13.158243624[CLIENT]Registered class clazz dawncraft:lancer
2025-02-23 22:42:13.15827107[CLIENT]Registered class clazz dawncraft:ronin
2025-02-23 22:42:13.158335866[CLIENT]Registered class clazz dawncraft:astrologer
2025-02-23 22:42:13.158370651[CLIENT]Registered class clazz dawncraft:tank
2025-02-23 22:43:56.969446125[CLIENT]Serialized class dawncraft:brawler as {"index":5,"starting_skills":["epicfight:roll","epicfight:hypervitality"],"items":[{"id":"minecraft:chainmail_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"epicfight:glove","count":1,"nbt":"{Damage:0}","slot":"offhand"},{"id":"epicfight:glove","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":24.0,"paraglider:max_stamina":28.0},"commands":[],"animation":"epicfight:biped/combat/fist_auto3","offset":[0.0,0.0]}
2025-02-23 22:43:56.969618558[CLIENT]Serialized class dawncraft:warrior as {"index":0,"starting_skills":["epicfight:roll"],"items":[{"id":"minecraft:leather_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"minecraft:stone_sword","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":22.0,"paraglider:max_stamina":32.0},"commands":[],"animation":"epicfight:biped/combat/sword_auto3","offset":[0.0,0.0]}
2025-02-23 22:43:56.969693838[CLIENT]Serialized class dawncraft:berserker as {"index":1,"starting_skills":["epicfight:roll","epicfight:berserker","epicfight:forbidden_strength"],"items":[{"id":"epicfight:stone_greatsword","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":20.0,"paraglider:max_stamina":25.0},"commands":[],"animation":"epicfight:biped/combat/greatsword_auto1","offset":[0.0,0.0]}
2025-02-23 22:43:56.969752802[CLIENT]Serialized class dawncraft:roamer as {"index":4,"starting_skills":["epicfight:roll","epicfight:emergency_escape"],"items":[{"id":"jet_and_elias_armors:highlander_set_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"minecraft:bow","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"nyfsquiver:basic_quiver","count":1,"nbt":"{Damage:0}","slot":"curios:quiver"},{"id":"minecraft:arrow","count":64,"slot":"mainhand"},{"id":"minecraft:bread","count":10,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":17.0,"paraglider:max_stamina":42.0},"commands":[],"animation":"epicfight:biped/combat/bow_shot_mid","offset":[0.0,0.0]}
2025-02-23 22:43:56.969848982[CLIENT]Serialized class dawncraft:lancer as {"index":3,"starting_skills":["epicfight:step","epicfight:revelation"],"items":[{"id":"magistuarmory:rustedkettlehat","count":1,"nbt":"{Damage:0}","slot":"head"},{"id":"magistuarmory:stone_ranseur","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":20.0,"paraglider:max_stamina":28.0},"commands":[],"animation":"epicfight:biped/combat/spear_twohand_auto1","offset":[0.0,0.0]}
2025-02-23 22:43:56.969905134[CLIENT]Serialized class dawncraft:ronin as {"index":6,"starting_skills":["epicfight:roll","epicfight:parrying","epicfight:technician"],"items":[{"id":"jet_and_elias_armors:outrider_set_helmet","count":1,"nbt":"{Damage:0}","slot":"head"},{"id":"epicfight:uchigatana","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":16.0,"paraglider:max_stamina":28.0},"commands":[],"animation":"epicfight:biped/combat/uchigatana_auto1","offset":[0.0,0.0]}
2025-02-23 22:43:56.969972071[CLIENT]Serialized class dawncraft:astrologer as {"index":5,"starting_skills":["epicfight:roll","wom:ender_step"],"items":[{"id":"irons_spellbooks:wandering_magician_helmet","count":1,"nbt":"{Damage:0}","slot":"head"},{"id":"irons_spellbooks:wandering_magician_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"irons_spellbooks:iron_spell_book","count":1,"nbt":"{ISB_spellbook:{activeSpellIndex:0,spellSlots:5,spells:[{id:4,level:1,slot:0},{id:7,level:1,slot:1},{id:16,level:1,slot:2},{id:19,level:1,slot:3}]}}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":16.0,"paraglider:max_stamina":20.0},"commands":[],"animation":"wom:biped/skill/enderstep_forward","offset":[0.0,-10.0]}
2025-02-23 22:43:56.970042609[CLIENT]Serialized class dawncraft:tank as {"index":2,"starting_skills":["epicfight:roll","epicfight:endurance"],"items":[{"id":"minecraft:chainmail_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"minecraft:shield","count":1,"nbt":"{Damage:0}","slot":"offhand"},{"id":"magistuarmory:wood_morgenstern","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":30.0,"paraglider:max_stamina":18.0},"commands":[],"animation":"epicfight:biped/combat/sword_auto1","offset":[0.0,0.0]}
2025-02-23 23:27:40.790117859[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.837627607[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.838241677[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.888417189[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.889291728[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:41.592556218[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:45.138029946[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:48.240714612[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:48.288312285[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:52.870372338[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:53.71680123[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:54.466654018[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:55.46711329[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:56.166095631[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:56.815767115[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:57.466946489[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:58.266263563[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:58.91719272[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:59.866138186[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:00.866444157[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:01.418523391[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:02.217394746[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:03.065802767[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:03.916602323[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:04.863575007[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:05.514747912[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:06.162844178[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:06.709676872[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:07.414998701[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:07.912938569[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:08.613293332[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:09.262626782[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:09.764861912[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:10.314962545[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:10.909237031[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:11.411660335[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:12.263157786[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:13.013497904[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:13.565080198[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:13.963093077[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:14.11420362[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:14.312748483[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:14.712710478[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:15.561643297[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:16.207035436[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:16.965704897[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:17.763882119[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:18.363909383[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:18.913787824[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:19.459391385[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:20.566392765[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:21.220000311[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:21.81740625[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:22.373794811[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:23.014737914[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:23.91479674[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:24.813841799[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:25.373605126[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:25.920335791[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:26.463513564[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:26.964422739[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:27.917066466[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:28.41530816[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:29.264096561[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:29.811753252[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:30.313157336[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:30.81279743[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:30.816861765[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:39.21350516[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:39.812376622[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:40.8109241[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:41.311423446[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:41.81338823[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:46.340878096[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:47.590605012[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:48.592339358[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:49.841472272[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:51.140649317[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:52.341066378[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:53.690724726[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:54.689840561[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:56.094603104[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:28:59.991218339[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:01.042009348[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:02.2425208[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:03.292060626[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:04.190673051[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:05.542343046[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:08.339878077[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:12.430183542[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:16.692415085[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:29:17.492223322[CLIENT]Running dawncraft:ronin commands for player sglre6355
